Name,TotalMinutes,PER,TSPCT,3PAr,FTr,ORBPCT,DRBPCT,TRBPCT,ASTPCT,STLPCT,BLKPCT,TOVPCT,USGPCT,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Justin Champagnie,151,12.5,0.543,0.64,0.24,7.6,13.1,10.3,0.105,0.019,3.2,0.14,0.179,0.0,0.1,0.1,0.04,-1.4,-0.8,-2.3,0.0
Max Christie,909,8.0,0.548,0.493,0.196,1.7,13.9,8.1,0.076,0.009000000000000001,1.5,0.125,0.133,-0.1,0.7,0.6,0.031,-3.5,-0.4,-3.9,-0.4
Sidy Cissoko,32,5.4,0.387,0.667,0.667,0.0,20.7,10.2,0.0,0.044000000000000004,0.0,0.114,0.115,-0.1,0.0,0.0,-0.009,-9.2,0.4,-8.8,-0.1
Brandon Clarke,64,21.5,0.58,0.107,0.107,13.2,14.3,13.7,0.115,0.023,4.4,0.033,0.204,0.1,0.1,0.2,0.157,2.1,-0.5,1.6,0.1
Jordan Clarkson,1682,12.6,0.521,0.379,0.246,3.2,9.0,6.1,0.245,0.01,0.3,0.139,0.261,0.1,0.1,0.2,0.007,-1.4,-3.1,-4.5,-1.1
Nic Claxton,1965,18.9,0.631,0.009,0.336,9.8,27.3,18.2,0.10099999999999999,0.012,6.1,0.115,0.156,3.4,3.0,6.4,0.156,-0.2,1.5,1.3,1.6
Noah Clowney,186,9.8,0.528,0.364,0.273,6.8,16.5,11.5,0.08,0.013000000000000001,1.5,0.14,0.133,0.0,0.2,0.2,0.051,-3.6,-0.6,-4.2,-0.1
Amir Coffey,1216,10.3,0.643,0.519,0.207,2.2,8.5,5.5,0.071,0.013000000000000001,0.8,0.092,0.11800000000000001,1.6,0.7,2.3,0.091,-1.6,-0.4,-2.0,0.0
John Collins,1901,17.4,0.621,0.311,0.248,9.2,24.0,16.6,0.061,0.01,2.9,0.106,0.203,3.0,1.4,4.4,0.111,0.4,-1.4,-1.0,0.5
Zach Collins,1384,13.6,0.56,0.301,0.268,8.1,17.3,12.6,0.188,0.011000000000000001,2.7,0.165,0.222,0.2,1.2,1.3,0.047,-2.4,-0.3,-2.7,-0.2
Mike Conley,1997,15.9,0.622,0.625,0.174,1.9,8.9,5.6,0.29,0.019,0.7,0.114,0.157,4.8,3.1,7.8,0.188,2.0,1.5,3.5,2.8
Pat Connaughton,1473,9.8,0.602,0.688,0.166,3.3,12.3,7.9,0.115,0.011000000000000001,0.9,0.12,0.105,1.6,1.1,2.7,0.088,-1.2,0.1,-1.1,0.3
Bilal Coulibaly,1715,8.9,0.543,0.428,0.303,3.4,12.8,8.0,0.08199999999999999,0.016,2.3,0.151,0.142,-0.5,1.0,0.5,0.013,-3.7,-0.5,-4.2,-1.0
Ricky Council IV,236,18.9,0.598,0.276,0.694,6.0,13.4,9.6,0.071,0.004,0.4,0.03,0.24100000000000002,0.7,0.1,0.8,0.163,2.6,-2.0,0.6,0.2
Robert Covington,488,13.6,0.58,0.571,0.265,6.9,15.3,11.0,0.063,0.039,3.4,0.091,0.107,0.6,0.8,1.4,0.141,-1.1,3.2,2.1,0.5
Robert Covington,69,10.6,0.455,0.889,0.222,3.4,9.6,6.6,0.121,0.043,2.6,0.0,0.063,0.1,0.1,0.2,0.122,-2.3,4.4,2.1,0.1
Robert Covington,419,14.1,0.593,0.539,0.27,7.5,16.2,11.8,0.053,0.039,3.5,0.099,0.114,0.5,0.7,1.3,0.144,-0.9,3.0,2.1,0.4
Torrey Craig,947,11.0,0.572,0.623,0.143,7.4,15.3,11.3,0.073,0.013999999999999999,2.1,0.106,0.127,0.9,0.8,1.7,0.088,-1.7,-0.2,-2.0,0.0
Jae Crowder,999,9.3,0.569,0.614,0.127,2.6,12.4,7.6,0.07400000000000001,0.017,0.6,0.073,0.11199999999999999,0.7,0.9,1.6,0.077,-2.4,0.4,-2.0,0.0
Jalen Crutcher,3,-12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,-0.33,-18.4,-7.8,-26.1,0.0
Cade Cunningham,2074,17.0,0.546,0.287,0.235,1.7,12.8,7.2,0.373,0.013000000000000001,0.9,0.141,0.307,0.8,1.0,1.8,0.042,2.0,-1.7,0.3,1.2
Seth Curry,616,9.9,0.519,0.529,0.152,3.2,9.0,6.1,0.096,0.017,0.9,0.08800000000000001,0.167,0.1,0.4,0.5,0.038,-2.6,-0.7,-3.2,-0.2
Seth Curry,457,8.6,0.502,0.552,0.131,3.6,8.8,6.2,0.084,0.018000000000000002,0.6,0.094,0.159,-0.1,0.3,0.3,0.031,-3.0,-0.9,-3.9,-0.2
Seth Curry,159,13.6,0.56,0.475,0.203,2.0,9.5,5.6,0.132,0.016,1.8,0.07200000000000001,0.192,0.1,0.1,0.2,0.059,-1.2,0.0,-1.2,0.0
Stephen Curry,2223,20.5,0.615,0.611,0.226,1.8,12.3,7.1,0.24100000000000002,0.011000000000000001,0.9,0.115,0.313,4.7,1.7,6.4,0.139,6.2,-1.3,4.9,3.8
Dyson Daniels,1175,11.8,0.517,0.431,0.187,5.3,13.5,9.5,0.155,0.032,1.8,0.155,0.126,0.5,1.9,2.4,0.098,-2.1,2.6,0.5,0.7
Anthony Davis,2511,25.6,0.619,0.079,0.392,10.2,28.0,19.6,0.156,0.015,5.7,0.094,0.266,6.5,4.3,10.8,0.206,3.4,1.7,5.1,4.5
Johnny Davis,498,5.4,0.408,0.242,0.114,3.8,9.9,6.8,0.061,0.013000000000000001,1.5,0.055,0.12400000000000001,-0.5,0.2,-0.3,-0.029,-5.8,-1.5,-7.3,-0.7
JD Davison,11,32.2,1.031,1.0,0.667,10.3,18.8,14.7,0.126,0.0,0.0,0.0,0.154,0.1,0.0,0.1,0.476,11.7,2.5,14.2,0.0
Dexter Dennis,30,18.2,0.541,0.421,0.158,3.7,29.1,16.4,0.23399999999999999,0.0,2.9,0.129,0.33299999999999996,0.0,0.0,0.0,0.001,1.9,-0.1,1.8,0.0
DeMar DeRozan,2784,19.4,0.582,0.168,0.46,1.6,11.3,6.4,0.217,0.015,1.6,0.07200000000000001,0.255,6.4,2.1,8.5,0.147,1.9,-0.3,1.6,2.5
Moussa Diabaté,64,24.7,0.576,0.0,0.737,27.8,15.5,21.4,0.086,0.039,1.4,0.07400000000000001,0.187,0.2,0.1,0.3,0.248,4.0,-0.6,3.3,0.1
Mamadi Diakite,24,18.6,0.694,0.167,1.0,4.5,13.8,9.1,0.135,0.021,3.5,0.10400000000000001,0.17,0.1,0.0,0.1,0.167,0.5,2.8,3.3,0.0
Mamadi Diakite,16,30.4,0.785,0.0,1.2,6.7,13.8,10.2,0.20199999999999999,0.0,5.2,0.0,0.201,0.1,0.0,0.1,0.344,7.9,3.6,11.5,0.1
Mamadi Diakite,8,-5.2,0.0,1.0,0.0,0.0,14.0,7.0,0.0,0.063,0.0,0.5,0.107,-0.1,0.0,0.0,-0.189,-14.2,1.1,-13.1,0.0
Hamidou Diallo,5,33.2,0.5,0.0,0.0,41.8,0.0,21.4,0.29,0.187,0.0,0.33299999999999996,0.253,0.0,0.0,0.0,0.201,2.6,16.1,18.7,0.0
Gradey Dick,1058,8.9,0.545,0.55,0.123,2.4,8.8,5.5,0.086,0.013999999999999999,0.2,0.102,0.17,0.0,0.3,0.3,0.014,-3.4,-2.1,-5.5,-0.9
Ousmane Dieng,342,9.4,0.54,0.644,0.154,3.4,12.6,8.2,0.121,0.006999999999999999,0.8,0.133,0.163,0.1,0.3,0.4,0.052,-2.3,-1.3,-3.5,-0.1
Spencer Dinwiddie,1992,11.6,0.532,0.564,0.322,1.6,9.0,5.2,0.23600000000000002,0.012,0.8,0.111,0.16899999999999998,1.9,1.2,3.1,0.075,-1.4,-0.6,-2.1,0.0
Spencer Dinwiddie,1474,13.4,0.53,0.557,0.321,1.9,10.2,5.9,0.273,0.013000000000000001,0.6,0.098,0.185,2.0,0.9,2.9,0.093,-0.5,-0.8,-1.2,0.3
Spencer Dinwiddie,518,6.5,0.539,0.598,0.327,0.7,5.7,3.3,0.129,0.008,1.7,0.16399999999999998,0.122,0.0,0.3,0.3,0.024,-4.3,-0.1,-4.4,-0.3
Donte DiVincenzo,2041,16.0,0.591,0.709,0.114,3.1,11.0,7.1,0.14,0.024,1.5,0.094,0.215,3.1,2.8,5.9,0.138,2.4,1.1,3.6,2.9
Luka Dončić,2432,28.3,0.617,0.44,0.376,2.4,24.2,13.4,0.439,0.019,1.2,0.126,0.36100000000000004,8.1,3.2,11.2,0.222,8.3,1.6,10.0,7.4
Luguentz Dort,2049,10.8,0.591,0.605,0.219,4.0,10.0,7.1,0.061,0.015,1.9,0.092,0.15,1.8,2.3,4.0,0.095,-1.6,-0.2,-1.8,0.1
Ayo Dosunmu,2137,13.3,0.602,0.412,0.143,2.6,8.2,5.4,0.157,0.015,1.6,0.113,0.171,2.5,1.5,4.0,0.089,-0.7,-0.3,-1.0,0.5
Jeff Dowtin,86,17.6,0.742,0.7,0.1,2.5,11.9,7.1,0.27,0.023,1.1,0.193,0.13,0.2,0.1,0.3,0.176,2.2,0.9,3.1,0.1
Henri Drell,3,44.5,0.5,0.5,0.0,36.6,0.0,18.6,1.0,0.0,0.0,0.0,0.29300000000000004,0.0,0.0,0.0,0.477,23.0,2.3,25.3,0.0
Andre Drummond,1298,22.8,0.572,0.006,0.459,21.5,37.2,29.2,0.043,0.026000000000000002,3.7,0.12300000000000001,0.215,2.1,2.6,4.6,0.171,0.7,-0.8,-0.2,0.6
Chris Duarte,690,8.9,0.522,0.597,0.164,4.0,12.7,8.2,0.077,0.019,1.1,0.096,0.14800000000000002,0.1,0.7,0.8,0.052,-3.1,0.1,-3.0,-0.2
Kris Dunn,1202,12.8,0.544,0.357,0.089,4.4,12.3,8.4,0.27399999999999997,0.026000000000000002,2.1,0.198,0.13699999999999998,1.0,0.9,1.9,0.076,-1.5,1.4,-0.1,0.6
Kevin Durant,2526,21.7,0.632,0.28,0.308,1.8,17.8,10.3,0.226,0.012,3.1,0.133,0.292,4.9,2.8,7.8,0.147,4.3,0.1,4.4,4.1
Jalen Duren,1667,18.8,0.66,0.006,0.313,12.2,33.1,22.5,0.129,0.009000000000000001,2.4,0.17,0.18100000000000002,2.9,1.7,4.6,0.133,0.0,0.2,0.2,0.9
Tari Eason,480,17.1,0.528,0.265,0.175,10.2,23.9,17.0,0.083,0.031000000000000003,3.6,0.08900000000000001,0.198,0.3,1.0,1.3,0.129,-0.5,2.1,1.6,0.4
Anthony Edwards,2502,19.7,0.575,0.335,0.318,2.2,15.1,9.0,0.247,0.018000000000000002,1.5,0.121,0.324,2.3,4.4,6.7,0.128,2.8,0.7,3.5,3.5
Kessler Edwards,245,10.5,0.549,0.63,0.11,4.1,14.1,9.0,0.057999999999999996,0.016,1.5,0.038,0.139,0.2,0.2,0.4,0.081,-1.4,-0.5,-1.9,0.0
Keon Ellis,773,11.5,0.613,0.728,0.15,3.3,10.7,6.9,0.11199999999999999,0.026000000000000002,2.8,0.12400000000000001,0.11599999999999999,0.8,0.9,1.7,0.108,-1.3,2.1,0.8,0.5
Joel Embiid,1157,34.8,0.645,0.149,0.534,8.3,28.9,18.4,0.325,0.017,4.7,0.11900000000000001,0.395,4.8,1.9,6.8,0.281,8.8,3.1,11.9,4.1
Drew Eubanks,1081,14.9,0.665,0.013,0.382,10.4,19.6,15.3,0.073,0.011000000000000001,4.8,0.17800000000000002,0.133,1.6,1.4,3.0,0.132,-1.8,0.8,-1.1,0.3
Tosan Evbuomwan,311,9.0,0.602,0.475,0.328,5.5,13.1,9.3,0.052000000000000005,0.006,0.8,0.10300000000000001,0.107,0.3,0.1,0.4,0.059,-2.6,-1.0,-3.6,-0.1
Tosan Evbuomwan,74,5.7,0.333,0.533,0.0,11.4,9.3,10.4,0.11,0.0,1.3,0.063,0.09300000000000001,0.0,0.0,0.0,0.016,-4.2,-2.3,-6.5,-0.1
Tosan Evbuomwan,237,10.1,0.675,0.457,0.435,3.7,14.3,8.9,0.034,0.008,0.7,0.113,0.111,0.3,0.1,0.4,0.072,-2.1,-0.6,-2.7,0.0
Dante Exum,926,15.0,0.665,0.347,0.246,2.5,11.8,7.2,0.196,0.011000000000000001,0.5,0.11900000000000001,0.156,2.1,0.6,2.8,0.143,0.5,-0.3,0.2,0.5
Bruno Fernando,538,16.4,0.618,0.027,0.46,10.7,22.9,16.6,0.092,0.021,4.3,0.17,0.168,0.6,0.6,1.3,0.113,-2.8,1.1,-1.7,0.0
Dorian Finney-Smith,1875,10.3,0.548,0.659,0.088,6.0,12.3,9.0,0.076,0.013999999999999999,1.8,0.094,0.132,1.1,1.5,2.7,0.068,-1.8,0.0,-1.8,0.1
Adam Flagler,6,-13.7,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.217,-0.1,0.0,-0.1,-0.45,-17.9,-9.0,-26.9,0.0
Malachi Flynn,732,10.9,0.534,0.553,0.203,3.0,12.5,7.6,0.187,0.019,1.0,0.157,0.18600000000000003,-0.1,0.5,0.4,0.028,-2.2,-0.1,-2.3,-0.1
Malachi Flynn,474,10.0,0.535,0.584,0.161,3.0,12.4,7.6,0.20199999999999999,0.018000000000000002,1.1,0.184,0.162,0.0,0.3,0.3,0.026,-2.8,0.1,-2.7,-0.1
Malachi Flynn,60,12.4,0.557,0.565,0.478,0.0,11.2,5.6,0.142,0.008,0.0,0.09699999999999999,0.22100000000000003,0.1,0.1,0.1,0.097,-1.7,-0.8,-2.5,0.0
Malachi Flynn,198,12.6,0.524,0.5,0.198,3.9,13.1,8.4,0.166,0.022000000000000002,0.9,0.13,0.231,-0.1,0.1,0.1,0.013,-1.0,-0.4,-1.4,0.0
Simone Fontecchio,1644,12.1,0.6,0.609,0.12,4.3,12.2,8.3,0.086,0.013000000000000001,1.2,0.105,0.165,1.5,0.6,2.1,0.062,0.0,-0.9,-1.0,0.4
Simone Fontecchio,1160,11.1,0.592,0.651,0.112,5.0,11.7,8.3,0.086,0.012,1.4,0.12,0.154,0.9,0.4,1.3,0.053,-0.4,-1.2,-1.6,0.1
Simone Fontecchio,484,14.3,0.613,0.532,0.137,2.7,13.6,8.1,0.087,0.013999999999999999,0.9,0.078,0.192,0.6,0.3,0.8,0.083,0.9,-0.4,0.6,0.3
Jordan Ford,22,16.7,0.761,0.429,0.286,0.0,10.5,5.1,0.126,0.0,0.0,0.113,0.172,0.1,0.0,0.1,0.153,3.2,-1.2,2.0,0.0
Trent Forrest,388,8.6,0.418,0.118,0.188,2.7,10.5,6.4,0.269,0.012,0.7,0.16399999999999998,0.11800000000000001,0.1,0.1,0.2,0.026,-3.8,-0.6,-4.5,-0.2
Evan Fournier,464,8.4,0.464,0.619,0.165,0.9,10.7,5.8,0.12,0.027000000000000003,0.7,0.087,0.19,-0.4,0.4,0.0,-0.002,-4.7,0.6,-4.2,-0.3
Evan Fournier,39,2.2,0.287,0.75,0.1,0.0,11.5,5.7,0.102,0.052000000000000005,0.0,0.046,0.24100000000000002,-0.2,0.1,-0.1,-0.103,-11.8,0.4,-11.4,-0.1
Evan Fournier,425,9.0,0.485,0.603,0.173,1.0,10.7,5.8,0.121,0.025,0.8,0.092,0.185,-0.2,0.3,0.1,0.008,-4.1,0.6,-3.5,-0.2
De'Aaron Fox,2358,20.0,0.565,0.366,0.287,3.0,11.6,7.2,0.253,0.027000000000000003,1.1,0.10300000000000001,0.312,2.8,2.7,5.4,0.11,2.4,-0.2,2.2,2.5
Javon Freeman-Liberty,236,9.6,0.521,0.338,0.31,3.7,15.3,9.4,0.12400000000000001,0.01,0.7,0.129,0.168,0.0,0.1,0.1,0.022,-4.4,-2.5,-6.9,-0.3
Alex Fudge,14,-1.9,0.291,0.333,0.333,16.7,0.0,7.9,0.0,0.0,0.0,0.127,0.244,-0.1,0.0,-0.1,-0.225,-9.9,-8.2,-18.1,-0.1
Markelle Fultz,766,12.1,0.472,0.051,0.099,7.3,10.5,8.9,0.209,0.023,1.5,0.129,0.18600000000000003,-0.2,1.2,1.0,0.062,-2.9,1.4,-1.6,0.1
Andrew Funk,3,-12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,-0.354,-18.6,-9.9,-28.5,0.0
Wenyen Gabriel,81,2.3,0.351,0.273,0.227,9.1,25.4,16.9,0.053,0.012,2.3,0.24800000000000003,0.171,-0.3,0.1,-0.2,-0.124,-10.7,-2.0,-12.7,-0.2
Daniel Gafford,1655,21.7,0.725,0.0,0.386,11.9,22.3,17.0,0.087,0.017,7.1,0.115,0.147,4.8,2.3,7.0,0.204,0.6,1.7,2.3,1.8
Daniel Gafford,1192,19.9,0.707,0.0,0.405,11.5,21.2,16.2,0.08,0.017,6.6,0.11699999999999999,0.139,3.0,1.4,4.4,0.177,-0.3,1.1,0.8,0.9
Daniel Gafford,463,26.3,0.763,0.0,0.348,12.8,25.0,18.9,0.10300000000000001,0.018000000000000002,8.4,0.11,0.16899999999999998,1.8,0.9,2.6,0.272,3.0,3.2,6.2,1.0
Danilo Gallinari,592,13.6,0.601,0.5,0.5,3.2,15.3,9.1,0.11699999999999999,0.01,0.8,0.076,0.17,1.0,0.3,1.3,0.103,-0.5,-1.0,-1.6,0.1
Danilo Gallinari,385,13.4,0.581,0.489,0.427,3.3,18.3,10.6,0.109,0.006999999999999999,0.6,0.07200000000000001,0.18300000000000002,0.5,0.2,0.6,0.08,-0.8,-1.8,-2.6,-0.1
Danilo Gallinari,90,23.3,0.799,0.545,1.091,2.4,15.1,8.7,0.185,0.011000000000000001,1.9,0.03,0.159,0.5,0.1,0.6,0.302,5.9,1.1,6.9,0.2
Danilo Gallinari,117,7.0,0.494,0.519,0.37,3.8,5.5,4.7,0.094,0.016,0.7,0.13699999999999998,0.134,0.0,0.1,0.1,0.027,-4.6,0.0,-4.5,-0.1
Darius Garland,1695,14.4,0.561,0.424,0.218,1.8,6.9,4.4,0.29600000000000004,0.018000000000000002,0.3,0.162,0.254,0.6,1.8,2.4,0.069,0.2,-1.3,-1.1,0.4
Usman Garuba,8,6.1,0.0,0.0,0.0,13.5,0.0,6.7,0.138,0.06,0.0,0.0,0.052000000000000005,0.0,0.0,0.0,0.072,-6.5,3.5,-2.9,0.0
Luka Garza,99,17.5,0.555,0.509,0.316,15.7,12.0,13.8,0.05,0.01,0.9,0.07200000000000001,0.312,0.1,0.1,0.3,0.123,-1.2,-3.2,-4.4,-0.1
Kaiser Gates,7,-19.8,0.0,0.5,0.0,0.0,15.6,7.9,0.0,0.0,0.0,0.0,0.24800000000000003,-0.1,0.0,-0.1,-0.553,-18.6,-10.1,-28.7,-0.1
Keyonte George,1822,10.6,0.532,0.538,0.279,0.9,10.8,5.9,0.23500000000000001,0.009000000000000001,0.3,0.165,0.225,-0.2,0.2,0.0,0.001,-1.4,-2.7,-4.1,-0.9
Paul George,2323,19.2,0.611,0.483,0.218,1.7,15.5,8.8,0.161,0.022000000000000002,1.3,0.09699999999999999,0.265,4.1,2.5,6.6,0.136,2.8,0.1,2.9,2.9
Taj Gibson,176,3.7,0.367,0.32,0.08,6.3,12.7,9.5,0.063,0.008,3.2,0.162,0.075,-0.1,0.2,0.1,0.029,-6.5,0.2,-6.4,-0.2
Taj Gibson,165,3.2,0.335,0.261,0.087,6.7,12.2,9.5,0.067,0.006,3.4,0.17300000000000001,0.075,-0.1,0.2,0.1,0.022,-6.9,0.1,-6.9,-0.2
Taj Gibson,11,12.3,0.75,1.0,0.0,0.0,20.6,10.1,0.0,0.044000000000000004,0.0,0.0,0.077,0.0,0.0,0.0,0.131,-0.8,2.2,1.4,0.0
Josh Giddey,1814,16.8,0.548,0.294,0.135,6.5,21.1,14.1,0.258,0.012,2.1,0.15,0.22899999999999998,1.4,2.6,4.0,0.105,1.3,0.4,1.7,1.7
Harry Giles,98,14.8,0.503,0.28,0.26,13.0,18.4,15.7,0.106,0.01,2.8,0.09699999999999999,0.272,-0.1,0.1,0.0,0.023,-2.8,-2.1,-4.9,-0.1
Harry Giles,81,18.4,0.543,0.25,0.295,15.7,19.7,17.6,0.129,0.006,3.3,0.10800000000000001,0.298,0.0,0.1,0.1,0.069,-1.1,-1.8,-2.8,0.0
Harry Giles,17,-2.5,0.167,0.5,0.0,0.0,12.4,6.5,0.0,0.027999999999999997,0.0,0.0,0.153,-0.1,0.0,-0.1,-0.201,-10.9,-3.9,-14.9,-0.1
Shai Gilgeous-Alexander,2444,29.4,0.638,0.178,0.431,2.9,14.6,9.0,0.299,0.028999999999999998,2.4,0.085,0.327,10.1,4.0,14.1,0.277,6.7,2.4,9.0,6.8
Anthony Gill,307,12.9,0.561,0.269,0.298,9.5,13.6,11.5,0.10300000000000001,0.013999999999999999,1.9,0.145,0.189,0.1,0.2,0.3,0.043,-2.1,-1.5,-3.6,-0.1
Collin Gillespie,225,11.0,0.586,0.551,0.174,0.5,9.6,5.2,0.156,0.028999999999999998,0.0,0.159,0.171,0.1,0.3,0.3,0.074,-3.7,0.9,-2.8,0.0
Jacob Gilyard,669,11.3,0.589,0.836,0.014,1.3,6.0,3.5,0.28300000000000003,0.02,0.7,0.165,0.113,0.8,0.5,1.4,0.099,-1.7,0.2,-1.5,0.1
Jacob Gilyard,654,11.5,0.597,0.833,0.014,1.3,6.1,3.6,0.28600000000000003,0.02,0.7,0.167,0.114,0.9,0.5,1.4,0.102,-1.5,0.2,-1.4,0.1
Jacob Gilyard,15,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.157,0.033,0.0,0.0,0.057999999999999996,0.0,0.0,0.0,-0.043,-10.5,2.9,-7.6,0.0
Rudy Gobert,2318,19.0,0.671,0.005,0.626,13.0,29.0,21.4,0.054000000000000006,0.009000000000000001,5.5,0.13,0.153,5.0,5.3,10.3,0.213,0.0,1.7,1.7,2.2
Jordan Goodwin,857,11.7,0.449,0.401,0.137,8.4,15.9,12.2,0.20600000000000002,0.022000000000000002,1.9,0.134,0.184,-0.3,1.1,0.8,0.044,-2.0,0.5,-1.5,0.1
Jordan Goodwin,558,12.5,0.481,0.415,0.15,8.6,14.7,11.8,0.18600000000000003,0.02,1.4,0.12400000000000001,0.182,0.2,0.6,0.8,0.07,-1.3,0.3,-1.0,0.1
Jordan Goodwin,299,10.4,0.391,0.377,0.113,8.1,18.0,12.8,0.24300000000000002,0.026000000000000002,2.8,0.152,0.189,-0.5,0.4,0.0,-0.006,-3.3,0.9,-2.4,0.0
Aaron Gordon,2145,16.4,0.601,0.19,0.359,8.8,14.2,11.5,0.145,0.012,1.6,0.114,0.18,3.8,2.4,6.1,0.137,0.9,0.0,0.8,1.5
Eric Gordon,1763,11.1,0.585,0.638,0.103,1.1,6.3,3.8,0.102,0.016,1.4,0.102,0.166,1.1,1.3,2.4,0.064,-1.1,-0.7,-1.8,0.1
Devonte' Graham,142,12.7,0.562,0.756,0.2,1.5,14.7,8.0,0.219,0.017,0.6,0.109,0.163,0.1,0.1,0.2,0.083,-1.3,-0.1,-1.4,0.0
Jerami Grant,1830,15.4,0.573,0.325,0.367,2.2,10.1,5.9,0.13699999999999998,0.012,1.7,0.105,0.257,1.6,0.9,2.6,0.067,0.9,-1.1,-0.2,0.8
A.J. Green,509,11.2,0.621,0.86,0.094,1.8,10.1,6.0,0.07,0.006,0.5,0.043,0.157,0.7,0.3,1.0,0.096,0.2,-1.8,-1.6,0.1
Danny Green,18,0.7,0.0,0.5,0.0,0.0,12.6,6.2,0.065,0.027000000000000003,0.0,0.0,0.048,0.0,0.0,0.0,-0.039,-7.4,0.7,-6.7,0.0
Draymond Green,1307,14.7,0.586,0.34,0.202,5.6,23.4,14.6,0.29100000000000004,0.017,2.8,0.24100000000000002,0.157,1.3,1.9,3.2,0.116,-0.5,2.9,2.3,1.4
Jalen Green,2346,15.1,0.545,0.444,0.272,1.7,15.7,8.6,0.17,0.012,1.0,0.109,0.27399999999999997,0.5,2.8,3.3,0.067,0.6,-0.6,0.0,1.2
Javonte Green,51,12.5,0.682,0.455,0.0,6.5,17.8,12.0,0.053,0.02,4.0,0.214,0.121,0.0,0.1,0.1,0.084,-0.9,1.0,0.1,0.0
Jeff Green,1162,10.8,0.593,0.408,0.427,3.6,10.7,7.1,0.068,0.005,2.4,0.106,0.152,1.1,1.1,2.2,0.093,-2.1,-0.2,-2.3,-0.1
Josh Green,1436,10.3,0.604,0.499,0.155,2.9,10.3,6.6,0.111,0.015,0.6,0.131,0.13,1.2,1.1,2.3,0.076,-2.0,-0.3,-2.3,-0.1
AJ Griffin,132,1.8,0.403,0.733,0.044,1.6,10.3,5.8,0.038,0.004,0.7,0.11599999999999999,0.16399999999999998,-0.3,0.0,-0.3,-0.096,-5.3,-3.3,-8.6,-0.2
Quentin Grimes,1025,8.8,0.516,0.732,0.137,1.6,9.3,5.4,0.087,0.017,0.6,0.075,0.157,0.3,1.0,1.4,0.063,-2.6,0.4,-2.2,-0.1
Quentin Grimes,910,9.5,0.543,0.741,0.119,1.7,9.1,5.4,0.078,0.017,0.3,0.065,0.152,0.7,0.9,1.6,0.085,-2.0,0.5,-1.4,0.1
Quentin Grimes,115,3.9,0.342,0.667,0.262,1.0,10.8,5.8,0.157,0.021,3.0,0.13,0.19899999999999998,-0.4,0.1,-0.3,-0.107,-7.8,-0.4,-8.1,-0.2
Mouhamadou Gueye,64,4.6,0.309,0.05,0.3,13.5,5.3,9.5,0.04,0.008,12.3,0.209,0.192,-0.3,0.1,-0.2,-0.15,-10.1,-3.0,-13.1,-0.2
Mouhamed Gueye,4,-0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.10400000000000001,0.0,0.0,0.0,-0.11,-12.5,3.7,-8.8,0.0
Rui Hachimura,1615,14.6,0.626,0.341,0.204,3.5,13.1,8.5,0.06,0.011000000000000001,1.1,0.06,0.184,2.2,1.3,3.4,0.102,-0.4,-0.9,-1.3,0.3
Ashton Hagans,289,8.8,0.532,0.317,0.27,4.1,12.0,7.8,0.23500000000000001,0.017,2.8,0.284,0.146,-0.2,0.2,0.1,0.01,-4.2,0.7,-3.5,-0.1
Tyrese Haliburton,2026,23.6,0.605,0.502,0.215,1.9,12.0,6.9,0.461,0.017,1.6,0.12,0.249,7.0,1.3,8.3,0.197,7.4,-0.4,7.0,4.6
R.J. Hampton,76,0.9,0.336,0.571,0.143,2.9,6.0,4.5,0.136,0.0,0.0,0.168,0.105,-0.1,0.0,-0.1,-0.039,-8.2,-1.4,-9.5,-0.1
Tim Hardaway Jr.,1949,12.5,0.548,0.608,0.179,1.2,12.0,6.6,0.08800000000000001,0.009000000000000001,0.3,0.06,0.23,0.9,1.2,2.1,0.053,-0.4,-2.2,-2.6,-0.3
James Harden,2331,18.8,0.62,0.591,0.419,1.6,14.7,8.4,0.332,0.016,2.2,0.158,0.204,5.9,2.2,8.1,0.167,3.9,0.3,4.2,3.7
Jaden Hardy,882,11.6,0.522,0.48,0.148,2.0,11.5,6.8,0.16,0.01,0.4,0.098,0.247,-0.2,0.6,0.4,0.021,-1.5,-2.3,-3.9,-0.4
Ron Harper Jr.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,,0.0,0.0,0.0,0.0,0.089,-11.7,2.9,-8.8,0.0
Gary Harris,1115,10.1,0.602,0.677,0.167,2.2,6.2,4.2,0.091,0.018000000000000002,1.1,0.08800000000000001,0.12400000000000001,1.1,1.4,2.5,0.109,-2.0,1.1,-0.8,0.3
Joe Harris,170,4.6,0.489,0.769,0.051,1.9,6.7,4.3,0.076,0.008,1.0,0.091,0.11,0.0,0.0,0.0,0.002,-4.7,-1.1,-5.8,-0.2
