Name,TotalMinutes,PER,TSPCT,3PAr,FTr,ORBPCT,DRBPCT,TRBPCT,ASTPCT,STLPCT,BLKPCT,TOVPCT,USGPCT,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Marvin Bagley III,566,20.7,0.626,0.072,0.293,15.5,20.8,18.1,0.075,0.012,2.7,0.10400000000000001,0.20800000000000002,1.2,0.4,1.6,0.134,1.5,-1.2,0.3,0.3
Amari Bailey,31,1.0,0.272,0.417,0.167,7.0,0.0,3.6,0.08800000000000001,0.016,0.0,0.07200000000000001,0.197,-0.1,0.0,-0.1,-0.191,-8.5,-3.9,-12.4,-0.1
Patrick Baldwin Jr.,331,7.0,0.428,0.619,0.181,4.1,23.3,13.4,0.076,0.013999999999999999,2.7,0.11,0.162,-0.5,0.3,-0.2,-0.03,-5.6,-0.6,-6.2,-0.4
LaMelo Ball,711,20.8,0.561,0.466,0.246,4.4,13.8,8.9,0.43100000000000005,0.027999999999999997,0.5,0.15,0.342,0.6,0.5,1.1,0.074,3.7,-0.5,3.3,0.9
Mo Bamba,703,15.6,0.583,0.319,0.255,11.4,24.2,17.7,0.078,0.015,7.2,0.157,0.152,0.6,1.2,1.8,0.124,-2.2,1.2,-0.9,0.2
Paolo Banchero,2540,17.3,0.55,0.248,0.39,3.4,19.5,11.4,0.251,0.013000000000000001,1.6,0.133,0.294,1.1,3.8,4.9,0.092,1.2,0.2,1.4,2.2
Desmond Bane,1443,18.3,0.589,0.464,0.207,2.6,11.8,7.0,0.294,0.015,1.4,0.11699999999999999,0.28600000000000003,1.7,1.3,3.0,0.098,3.0,-0.3,2.7,1.7
Dalano Banton,834,13.8,0.52,0.386,0.244,5.0,15.5,10.0,0.17800000000000002,0.015,1.8,0.125,0.247,-0.1,0.7,0.7,0.038,-0.4,-0.8,-1.2,0.2
Dalano Banton,171,9.9,0.468,0.314,0.392,7.9,13.9,11.0,0.14,0.013999999999999999,1.5,0.14300000000000002,0.17800000000000002,0.0,0.2,0.2,0.063,-4.7,0.6,-4.1,-0.1
Dalano Banton,663,14.8,0.529,0.397,0.221,4.2,15.9,9.7,0.187,0.016,1.9,0.121,0.265,-0.1,0.5,0.4,0.032,0.7,-1.1,-0.4,0.3
Dominick Barlow,420,14.6,0.548,0.08,0.372,11.5,17.8,14.6,0.11699999999999999,0.013999999999999999,2.8,0.064,0.141,0.7,0.4,1.1,0.122,-1.7,-0.1,-1.8,0.0
