Name,Salary
Stephen Curry,51915615
Kevin Durant,47649433
Nikola Jokić,47607350
Joel Embiid,47607350
LeBron James,47607350
Bradley Beal,46741590
Giannis Antetokounmpo,45640084
Kawhi Leonard,45640084
Damian Lillard,45640084
Paul George,45640084
Jimmy Butler,45183960
Klay Thompson,43219440
Rudy Gobert,41000000
Fred VanVleet,40806300
Anthony Davis,40600080
Trae Young,40064220
Luka Dončić,40064220
Zach LaVine,40064220
Tobias Harris,39270150
Ben Simmons,37893408
Pascal Siakam,37893408
Kyrie Irving,37037037
Jrue Holiday,36861707
Devin Booker,36016200
Karl-Anthony Towns,36016200
Kristaps Porziņģis,36016200
CJ McCollum,35802469
James Harden,35640000
Zion Williamson,34005250
Ja Morant,34005250
Darius Garland,34005250
Brandon Ingram,33833400
Jamal Murray,33833400
Shai Gilgeous-Alexander,33386850
Michael Porter Jr.,33386850
Donovan Mitchell,33162030
De'Aaron Fox,32600060
Bam Adebayo,32600060
Jayson Tatum,32600060
Deandre Ayton,32459438
Jaylen Brown,31830357
Gordon Hayward,31500000
Chris Paul,30800000
Domantas Sabonis,30600000
Kyle Lowry,29682540
Khris Middleton,29320988
DeMar DeRozan,28600000
Julius Randle,28226880
Jerami Grant,27586207
Jordan Poole,27455357
Jaren Jackson Jr.,27102202
Tyler Herro,27000000
Jalen Brunson,26346666
Cameron Johnson,25679348
Kyle Kuzma,25568182
John Collins,25340000
Brook Lopez,25000000
Mike Conley,24360000
Andrew Wiggins,24330357
Anfernee Simons,24107143
RJ Barrett,23883929
Jordan Clarkson,23487629
Terry Rozier,23205221
Dillon Brooks,22627671
Malcolm Brogdon,22500000
Draymond Green,22321429
Aaron Gordon,22266182
Bruce Brown,22000000
Mikal Bridges,21700000
Myles Turner,20975000
Clint Capela,20616000
Lonzo Ball,20465117
Spencer Dinwiddie,21911797
De'Andre Hunter,20089286
Keldon Johnson,20000000
Jarrett Allen,20000000
Bojan Bogdanović,20000000
Joe Harris,19928571
Jakob Poeltl,19500000
Buddy Hield,19279841
Evan Fournier,18857143
Marcus Smart,18833713
Bogdan Bogdanović,18700000
OG Anunoby,18642857
Gary Trent Jr.,18560000
Nikola Vučević,18518519
Derrick White,18357143
Dejounte Murray,18214000
Duncan Robinson,18154000
Norman Powell,18000000
Tim Hardaway Jr.,17897728
Jonathan Isaac,17400000
Collin Sexton,17325000
D'Angelo Russell,17307693
Lauri Markkanen,17259999
Marcus Morris,17116279
Harrison Barnes,17000000
Dāvis Bertāns,17000000
Markelle Fultz,17000000
Jusuf Nurkić,16875000
P.J. Washington,16847826
Kevin Porter Jr.,15860000
Rui Hachimura,15740741
Mitchell Robinson,15681818
Kevin Huerter,15669643
Jonas Valančiūnas,15435000
