Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Ziaire Williams,SF,22,MEM,15,8,23.0,3.0,8.2,0.366,1.3,4.1,0.311,1.7,4.1,0.419,0.443,1.4,1.6,0.875,0.7,3.9,4.6,1.5,0.4,0.3,1.3,2.2,8.7
Zion Williamson,PF,23,NOP,14,14,31.8,9.4,17.1,0.548,0.1,0.3,0.5,9.2,16.8,0.549,0.552,4.5,7.3,0.618,2.1,3.6,5.8,4.8,1.0,0.3,2.6,2.6,23.4
Jalen Wilson,PF,23,BRK,2,0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0
James Wiseman,C,22,DET,9,0,11.0,2.4,3.9,0.629,0.0,0.1,0.0,2.4,3.8,0.647,0.629,0.7,1.2,0.545,1.0,2.0,3.0,0.3,0.1,0.3,0.8,1.8,5.6
Christian Wood,PF,28,LAL,18,1,20.4,2.6,5.5,0.465,0.8,2.6,0.304,1.8,2.9,0.604,0.535,1.2,1.8,0.656,0.9,5.1,6.0,0.8,0.2,0.6,1.3,1.9,7.1
Delon Wright,PG,31,WAS,8,0,17.6,1.4,3.8,0.367,0.5,1.4,0.364,0.9,2.4,0.368,0.433,1.8,2.0,0.875,0.4,2.1,2.5,4.4,1.6,0.1,0.5,0.8,5.0
Thaddeus Young,PF,35,TOR,3,0,3.3,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,0.0,0.7,0.0,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.0,1.3
Trae Young,PG,25,ATL,16,16,35.8,7.4,18.8,0.393,3.0,8.4,0.358,4.4,10.4,0.422,0.473,7.9,9.0,0.875,0.6,2.3,2.9,10.4,1.6,0.0,3.9,1.6,25.6
Omer Yurtseven,C,25,UTA,11,2,10.3,1.9,3.1,0.618,0.3,1.0,0.273,1.6,2.1,0.783,0.662,0.5,0.6,0.714,1.3,2.4,3.6,0.6,0.1,0.5,0.5,1.1,4.5
Cody Zeller,C,31,NOP,14,0,9.2,0.6,1.8,0.36,0.0,0.1,0.0,0.6,1.7,0.375,0.36,0.4,1.1,0.375,1.2,2.1,3.4,1.2,0.1,0.1,0.3,1.0,1.7
Ivica Zubac,C,26,LAC,16,16,25.6,4.6,7.6,0.612,0.0,0.0,0.0,4.6,7.6,0.612,0.612,2.0,3.3,0.604,3.3,5.7,8.9,0.8,0.1,1.3,1.4,2.8,11.3
