Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Jeremy Sochan,PG,20,SAS,17,17,28.5,4.1,9.6,0.423,0.8,2.1,0.371,3.3,7.5,0.438,0.463,1.5,1.9,0.758,1.5,3.9,5.4,4.4,0.8,0.2,2.3,2.9,10.4
Jaden Springer,SG,21,PHI,11,0,11.5,1.2,3.4,0.351,0.3,1.1,0.25,0.9,2.3,0.4,0.392,0.5,0.7,0.75,1.1,0.9,2.0,0.9,0.5,0.5,1.1,1.6,3.2
Lamar Stevens,PF,26,BOS,6,0,3.3,0.7,1.2,0.571,0.2,0.2,1.0,0.5,1.0,0.5,0.643,0.0,0.0,0.0,0.7,0.3,1.0,0.3,0.2,0.2,0.5,0.7,1.5
Isaiah Stewart,PF,22,DET,17,17,31.6,4.3,9.5,0.453,1.5,3.8,0.385,2.8,5.6,0.5,0.531,1.4,1.8,0.774,2.0,5.4,7.4,1.4,0.3,0.8,1.6,2.5,11.5
Julian Strawther,SF,21,DEN,15,0,12.2,1.9,4.9,0.397,1.1,3.1,0.34,0.9,1.7,0.5,0.507,0.4,0.5,0.75,0.1,1.1,1.1,1.0,0.3,0.3,0.2,1.7,5.3
Max Strus,SF,27,CLE,18,18,35.1,5.1,11.8,0.434,2.9,7.6,0.387,2.2,4.2,0.52,0.559,1.1,1.3,0.826,0.8,4.9,5.7,4.0,0.9,0.7,1.6,2.4,14.2
Jalen Suggs,SG,22,ORL,16,16,27.1,4.2,9.6,0.435,1.6,4.3,0.362,2.6,5.3,0.494,0.516,2.5,3.0,0.833,0.8,3.3,4.0,2.7,1.9,0.5,1.9,2.8,12.4
Cole Swider,SF,24,MIA,3,0,9.7,2.0,4.7,0.429,1.3,3.7,0.364,0.7,1.0,0.667,0.571,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.3,0.3,0.3,0.3,5.3
Jae'Sean Tate,SF,28,HOU,15,0,18.8,2.4,4.7,0.507,0.7,2.1,0.355,1.7,2.7,0.625,0.585,0.5,0.7,0.8,1.1,2.8,3.9,1.3,1.1,0.3,0.3,2.8,6.1
Jayson Tatum,PF,25,BOS,18,18,37.0,9.7,19.7,0.494,3.2,8.8,0.361,6.6,10.9,0.602,0.575,5.1,6.3,0.807,0.7,8.1,8.8,4.1,1.1,0.3,3.2,2.3,27.7
